time,vs,hs,dist,alt,ang,fuel,acc
0.00,24.800000,932.000000,181000.00,13748.000000,58.300000,121.000000,0.000000
1.00,25.532762,932.000000,180068.00,13722.467238,58.300000,120.879255,1.198599
2.00,25.635695,930.980219,179137.02,13696.831543,58.300000,120.706968,1.711271
3.00,25.470206,929.524251,178207.50,13671.361336,58.300000,120.552385,1.536263
4.00,25.398068,928.217181,177279.28,13645.963269,58.300000,120.446421,1.053464
5.00,25.580874,927.320881,176351.96,13620.382395,58.300000,120.379216,0.668289
6.00,25.966934,926.752294,175425.21,13594.415461,58.300000,120.321274,0.576300
7.00,26.401874,926.261972,174498.94,13568.013588,58.300000,120.247480,0.734156
8.00,26.754333,925.637344,173573.31,13541.259255,58.300000,120.149527,0.974836
9.00,26.980917,924.807943,172648.50,13514.278338,58.300000,120.034238,1.147830
10.00,27.117389,923.831356,171724.67,13487.160948,58.300000,119.914090,1.196718
11.00,27.229104,922.813175,170801.85,13459.931844,58.300000,119.798188,1.154889
12.00,27.363771,921.830583,169880.02,13432.568073,58.300000,119.688550,1.092902
13.00,27.531947,920.900730,168959.12,13405.036125,58.300000,119.581741,1.065089
14.00,27.715626,919.994541,168039.13,13377.320500,58.300000,119.472935,1.085432
15.00,27.889479,919.071044,167120.06,13349.431020,58.300000,119.359195,1.135089
16.00,28.038120,918.105298,166201.95,13321.392900,58.300000,119.240466,1.185385
17.00,28.161253,917.096759,165284.85,13293.231647,58.300000,119.118564,1.217585
18.00,28.268429,916.060824,164368.79,13264.963218,58.300000,118.995508,1.229638
19.00,28.370259,915.014634,163453.78,13236.592959,58.300000,118.872365,1.231053
20.00,28.472344,913.967240,162539.81,13208.120616,58.300000,118.749055,1.233247
21.00,28.574275,912.917980,161626.89,13179.546341,58.300000,118.624878,1.242464
22.00,28.672365,911.860878,160715.03,13150.873976,58.300000,118.499179,1.258257
23.00,28.763164,910.790339,159804.24,13122.110812,58.300000,118.371736,1.276284
24.00,28.845511,909.704462,158894.54,13093.265301,58.300000,118.242759,1.292231
25.00,28.920515,908.605017,157985.93,13064.344786,58.300000,118.112643,1.304240
26.00,28.990258,907.495355,157078.44,13035.354528,58.300000,117.981709,1.313051
27.00,29.056429,906.378197,156172.06,13006.298098,58.300000,117.850081,1.320629
28.00,29.119685,905.254591,155266.80,12977.178414,58.300000,117.717718,1.328620
29.00,29.179813,904.124186,154362.68,12947.998601,58.300000,117.584527,1.337564
30.00,29.236320,902.986172,153459.69,12918.762280,58.300000,117.450458,1.347019
31.00,29.288945,901.840113,152557.85,12889.473336,58.300000,117.315540,1.356196
32.00,29.337840,900.686246,151657.17,12860.135495,58.300000,117.179857,1.364545
33.00,29.383450,899.525276,150757.64,12830.752045,58.300000,117.043499,1.371987
34.00,29.426257,898.357974,149859.28,12801.325788,58.300000,116.906532,1.378797
35.00,29.466599,897.184878,148962.10,12771.859189,58.300000,116.768982,1.385330
36.00,29.504627,896.006224,148066.09,12742.354561,58.300000,116.630858,1.391798
37.00,29.540382,894.822067,147171.27,12712.814180,58.300000,116.492166,1.398218
38.00,29.573892,893.632447,146277.64,12683.240287,58.300000,116.352921,1.404481
39.00,29.605247,892.437499,145385.20,12653.635040,58.300000,116.213151,1.410474
40.00,29.634592,891.237452,144493.96,12624.000448,58.300000,116.072889,1.416149
41.00,29.662101,890.032577,143603.93,12594.338347,58.300000,115.932163,1.421538
42.00,29.687927,888.823117,142715.11,12564.650420,58.300000,115.790997,1.426709
43.00,29.712190,887.609257,141827.50,12534.938230,58.300000,115.649406,1.431726
44.00,29.734975,886.391129,140941.11,12505.203254,58.300000,115.507403,1.436615
45.00,29.756353,885.168840,140055.94,12475.446901,58.300000,115.365002,1.441376
46.00,29.776396,883.942502,139172.00,12445.670505,58.300000,115.222217,1.445992
47.00,29.795183,882.712236,138289.28,12415.875322,58.300000,115.079065,1.450456
